W,M,P
貴方,당신,あなた
いいえ,아니요,いいえ
イぎりす人,영국인,イぎりす人じん
医者,의사,いしゃ
会員,회원,かいいん
会社,회사,かいしゃ
会社員,회사원,かいしゃいん
学生,학생,がくせい
彼女,그녀(그 여자),かのじょ
彼,그(그 남자),かれ
韓国人,한국인,かんこくじん
君,너(자네),きみ
銀行員,은행원,ぎんこういん
軍人,군인,ぐんじん
こちら,이쪽(이분),こちら
こちらこそ,저야말로,こちらこそ
～さん,~씨,さん
社員,사원,しゃいん
社会,사회,しゃかい
主婦,주부,しゅふ
先生,선생님,せんせい
大学生,대학생,だいがくせい
誰,누구,だれ
中国人,중국인,ちゅうごくじん
～で,~이고,で
～ではありません,~이(가) 아닙니다,ではありません
ドトツ人,독일인,どいつじん
どうぞよろしくおねがいします,잘 부탁합니다,どうぞよろしくおねがいします
～と申します,~라고 합니다,ともうします
日本人,일본인,にほんじん
初めまして,처음 뵙겠습니다,はじめまして
仏蘭西人,프랑스인,ふらんすじん  
わたくし, 저, わたくし
わたくs, 저, わたく
