W,M,P
新しい,새롭다,あたらしい
暑い,덥다,あつい
寒い,춥다,さむい
大きい,크다,おおきい
小さい,작다,ちいさい
高い,높다,たかい
低い,낮다,ひくい
安い,싸다,やすい
難しい,어렵다,むずかしい
易しい,쉽다,やさしい
美しい,아름답다,うつくしい
楽しい,즐겁다,たのしい
面白い,재미있다,おもしろい
忙しい,바쁘다,いそがしい
嬉しい,기쁘다,うれしい
悲しい,슬프다,かなしい
寂しい,외롭다,さびしい
赤い,빨갛다,あかい
青い,파랗다,あおい
白い,하얗다,しろい
黒い,검다,くろい
若い,젊다,わかい
古い,오래되다,ふるい
強い,강하다,つよい
弱い,약하다,よわい
甘い,달다,あまい
辛い,맵다,からい
苦い,쓰다,にがい
酸っぱい,시다,すっぱい
丸い,둥글다,まるい
細い,가늘다,ほそい
太い,굵다,ふとい
明るい,밝다,あかるい
暗い,어둡다,くらい
早い,빠르다,はやい
遅い,늦다,おそい
近い,가깝다,ちかい
遠い,멀다,とおい
広い,넓다,ひろい
狭い,좁다,せまい
重い,무겁다,おもい
軽い,가볍다,かるい
硬い,딱딱하다,かたい
柔らかい,부드럽다,やわらかい
深い,깊다,ふかい
浅い,얕다,あさい
寒い,춥다,さむい
涼しい,시원하다,すずしい
暖かい,따뜻하다,あたたかい
痛い,아프다,いたい
眠い,졸리다,ねむい
羨ましい,부럽다,うらやましい
恥ずかしい,부끄럽다,はずかしい
怖い,무섭다,こわい
可愛い,귀엽다,かわいい
懐かしい,그립다,なつかしい
