W,M,P
静か,조용하다,しずか
賑やか,번화하다,にぎやか
有名,유명하다,ゆうめい
親切,친절하다,しんせつ
元気,건강하다,げんき
暇,한가하다,ひま
便利,편리하다,べんり
不便,불편하다,ふべん
綺麗,깨끗하다,きれい
簡単,간단하다,かんたん
複雑,복잡하다,ふくざつ
大切,중요하다,たいせつ
大丈夫,괜찮다,だいじょうぶ
真面目,성실하다,まじめ
丁寧,정중하다,ていねい
上手,능숙하다,じょうず
下手,서투르다,へた
有名,유명하다,ゆうめい
特別,특별하다,とくべつ
必要,필요하다,ひつよう
自由,자유롭다,じゆう
幸せ,행복하다,しあわせ
残念,유감스럽다,ざんねん
心配,걱정스럽다,しんぱい
安心,안심하다,あんしん
失礼,실례되다,しつれい
意外,의외이다,いがい
同じ,같다,おなじ
嫌い,싫어하다,きらい
素敵,멋지다,すてき
立派,훌륭하다,りっぱ
複雑,복잡하다,ふくざつ
正直,정직하다,しょうじき
積極的,적극적이다,せっきょくてき
消極的,소극적이다,しょうきょくてき
悲観的,비관적이다,ひかんてき
楽観的,낙관적이다,らっかんてき
伝統的,전통적이다,でんとうてき
国際的,국제적이다,こくさいてき
歴史的,역사적이다,れきしてき
文化的,문화적이다,ぶんかてき
社会的,사회적이다,しゃかいてき
経済的,경제적이다,けいざいてき
科学的,과학적이다,かがくてき
宗教的,종교적이다,しゅうきょうてき
政治的,정치적이다,せいじてき
心理的,심리적이다,しんりてき
物理的,물리적이다,ぶつりてき
法的,법적이다,ほうてき
医学的,의학적이다,いがくてき
教育的,교육적이다,きょういくてき
